respondent_id,bumo,region,gender,age_band,income_band,household_size,wash_freq_per_day,skin_type,benefits_sought,is_aware,awareness_channel,is_trialist,familiarity,is_repeater,trial_barriers,trial_drivers,concept_relevance,concept_purchase_intent,value_perception,price_index_vs_others,benefit_perception_pre,rating_suitable_for_daily_use,rating_rinses_off_cleanly,rating_controls_oil_throughout_the_,rating_deep_cleansing_feel,rating_refreshing_feel_during_wash,rating_gentle__non-irritating_on_s,rating_easy_to_lather,rating_attractive_packaging,rating_pleasant_scent,rating_leaves_skin_feeling_soft,rating_skin_looks_brighter_after_wa,rating_reduces_appearance_of_dark_s,rating_skin_feels_hydrated_not_tig,rating_long-lasting_matte_finish,rating_suitable_for_sensitive_skin,rating_visibly_improved_skin_textur,overall_product_rating,product_superiority,repeat_intent,recommend_intent,benefit_perception_post,suggested_improvements,purchase_channel,pack_size_bought,time_since_last_purchase,time_since_last_use
R1070,Brightening / Whitening,Mindanao,Male,46–59,"PHP 25,001–40,000",5,2,Normal,Reduces dark spots & hyperpigmentation|Deep cleansing,True,Supermarket display,True,Regular buyer,False,,Liked price for perceived benefit|Product addresses my skin needs|Recommended by beauty influencer,,,,,,5,5,4,5,4,3,5,5,3,3,5,3,2,4,5,5,4,Same as BUMO,Probably would not,Definitely would recommend,Controls oil / prevents breakouts,Improve moisturising effect — skin feels dry after use|Offer more promotions / discounts,Convenience store,100ml,Less than 1 week,1 month ago
R1071,Brightening / Whitening,Mindanao,Female,46–59,"PHP 10,001–18,000",4,2,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,Supermarket display,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Somewhat relevant,Definitely would not,Very good value,A little higher,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1072,Brightening / Whitening,Visayas,Female,18–24,"PHP 60,001–100,000",3,2,Dry,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Smells pleasant,True,Supermarket display,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash|Not convinced the brightening claim is real|Did not like / relate to TV ad,,Not sure,Definitely would not,Fairly good value,A little higher,Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1073,Brightening / Whitening,Luzon,Female,18–24,"PHP 10,001–18,000",5,2,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Prevents breakouts,True,Facebook,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Somewhat relevant,Definitely would not,Somewhat poor value,About the same,Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1074,Brightening / Whitening,Mindanao,Female,25–35,"PHP 100,001+",5,2,Normal,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,YouTube,True,Regular buyer,False,,Liked price for perceived benefit|Liked the product texture or scent|Recommended by friends / family,,,,,,5,5,5,5,5,4,5,5,5,5,2,1,5,4,4,5,5,Same as BUMO,Definitely would buy again,Probably would recommend,Brightens skin tone|Keeps skin hydrated,Improve moisturising effect — skin feels dry after use,E-commerce,150ml,2 months ago,More than 3 months
R1075,Brightening / Whitening,Luzon,Female,18–24,"PHP 10,001–18,000",4,2,Oily,Reduces dark spots & hyperpigmentation|Controls excess oil|Prevents breakouts,True,TV ad,True,Regular buyer,False,,Liked price for perceived benefit|Liked the product texture or scent|Product addresses my skin needs,,,,,,5,4,5,5,5,5,5,5,5,5,4,1,3,5,5,3,3,Better than BUMO,Probably would buy again,Might or might not,Brightens skin tone|Keeps skin hydrated,Improve moisturising effect — skin feels dry after use,Drugstore,100ml,1 month ago,Less than 1 week
R1076,Brightening / Whitening,Luzon,Female,25–35,"PHP 10,001–18,000",6,2,Dry,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Gentle / non-irritating,True,TV ad,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Somewhat irrelevant,Might or might not,Somewhat poor value,About the same,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1077,Brightening / Whitening,Visayas,Female,18–24,"PHP 10,001–18,000",5,2,Dry,Reduces dark spots & hyperpigmentation|Anti-aging / firming,True,TV ad,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash|Not convinced the brightening claim is real,,Not sure,Probably would buy,Fairly good value,About the same,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1078,Brightening / Whitening,Mindanao,Male,25–35,"PHP 10,001–18,000",2,2,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1079,Brightening / Whitening,Visayas,Female,46–59,"PHP 100,001+",4,3,Dry,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Prevents breakouts,True,TV ad,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash|Price too high for perceived benefit,,Very relevant,Definitely would buy,Fairly good value,A little higher,Controls oil / prevents breakouts|Reduces dark spots,,,,,,,,,,,,,,,,,,,,,,,,,,
R1080,Brightening / Whitening,Luzon,Female,25–35,"PHP 40,001–60,000",5,3,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,TV ad,True,Bought within past 3 months,True,,Liked price for perceived benefit|Liked the product texture or scent|Recommended by beauty influencer,,,,,,5,5,5,5,5,5,4,3,5,5,1,1,5,5,3,3,3,Better than BUMO,Probably would buy again,Definitely would recommend,Keeps skin hydrated|Controls oil / prevents breakouts,Improve moisturising effect — skin feels dry after use|Offer more promotions / discounts,Supermarket,100ml,1 month ago,Less than 1 week
R1081,Brightening / Whitening,Mindanao,Female,46–59,"PHP 10,001–18,000",5,2,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Deep cleansing,True,Drugstore display,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Very relevant,Definitely would not,Average value,About the same,Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1082,Brightening / Whitening,Visayas,Female,25–35,"PHP 40,001–60,000",2,2,Normal,Brightens / evens skin tone|Keeps skin hydrated|Controls excess oil,True,TV ad,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash|Did not like / relate to TikTok content,,Somewhat relevant,Might or might not,Average value,About the same,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1083,Brightening / Whitening,Mindanao,Male,25–35,"PHP 25,001–40,000",2,1,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Controls excess oil,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1084,Brightening / Whitening,Mindanao,Female,25–35,"PHP 60,001–100,000",6,1,Normal,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1085,Brightening / Whitening,Mindanao,Male,36–45,"PHP 10,001–18,000",3,1,Combination,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Deep cleansing,True,Facebook,True,Bought within past 3 months,False,,Product addresses my skin needs|Recommended by beauty influencer,,,,,,4,5,5,5,4,5,5,5,5,5,5,1,5,3,5,4,4,Better than BUMO,Probably would buy again,Definitely would recommend,Controls oil / prevents breakouts,Improve moisturising effect — skin feels dry after use,E-commerce,100ml twin-pack,More than 3 months,Less than 1 week
R1086,Brightening / Whitening,Luzon,Male,18–24,"PHP 60,001–100,000",5,3,Normal,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Smells pleasant,True,TV ad,True,Bought within past 3 months,True,,Liked the product texture or scent|Recommended by beauty influencer,,,,,,5,5,5,5,5,5,5,5,5,4,1,1,3,2,5,3,5,Same as BUMO,Probably would not,Definitely would recommend,Brightens skin tone|Keeps skin hydrated,Improve moisturising effect — skin feels dry after use|Strengthen brightening result — visible change takes too long,Supermarket,100ml,Less than 1 week,More than 3 months
R1087,Brightening / Whitening,Luzon,Male,25–35,"PHP 10,001–18,000",2,2,Combination,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Controls excess oil,True,Drugstore display,True,Regular buyer,True,,Liked / related to TV ad|Liked price for perceived benefit|Liked the product texture or scent,,,,,,5,5,4,5,5,5,5,5,5,4,5,5,1,4,5,5,5,Better than BUMO,Definitely would buy again,Probably would recommend,Brightens skin tone|Keeps skin hydrated,Strengthen brightening result — visible change takes too long|Add more active skin ingredients,Drugstore,100ml,1–2 weeks ago,Less than 1 week
R1088,Brightening / Whitening,Visayas,Female,18–24,"PHP 40,001–60,000",6,2,Combination,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1089,Brightening / Whitening,Mindanao,Female,25–35,"PHP 25,001–40,000",4,2,Oily,Brightens / evens skin tone|Controls excess oil|Smells pleasant,True,Drugstore display,False,"Seen/heard, considering but haven't bought",False,Not recommended by friends / family,,Somewhat irrelevant,Probably would buy,Average value,About the same,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1090,Brightening / Whitening,Mindanao,Female,18–24,"PHP 18,001–25,000",6,2,Combination,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation,True,Facebook,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Somewhat relevant,Probably would buy,Fairly good value,About the same,Brightens skin tone|Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1091,Brightening / Whitening,Visayas,Female,18–24,"PHP 100,001+",4,1,Sensitive,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Gentle / non-irritating,True,Supermarket display,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash|Price too high for perceived benefit,,Somewhat relevant,Might or might not,Fairly good value,A little higher,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1092,Brightening / Whitening,Luzon,Female,25–35,"PHP 25,001–40,000",5,1,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Controls excess oil,True,Supermarket display,True,Regular buyer,False,,Liked / related to TV ad|Liked price for perceived benefit|Liked the product texture or scent,,,,,,5,5,5,5,4,5,5,5,4,5,5,1,3,5,5,5,3,Same as BUMO,Definitely would buy again,Probably would recommend,Controls oil / prevents breakouts|Deep cleansing,Improve moisturising effect — skin feels dry after use,E-commerce,150ml,Less than 1 week,1 month ago
R1093,Brightening / Whitening,Mindanao,Male,25–35,"PHP 10,001–18,000",2,2,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1094,Brightening / Whitening,Luzon,Female,25–35,"PHP 25,001–40,000",3,2,Combination,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,TV ad,True,Bought within past 3 months,True,,Product addresses my skin needs|Easy to find in store|Recommended by friends / family,,,,,,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,2,5,Better than BUMO,Definitely would buy again,Might or might not,Keeps skin hydrated|Deep cleansing,Improve the scent|Make product easier to find in stores,Beauty specialty store,100ml,Less than 1 week,Less than 1 week
R1095,Brightening / Whitening,Luzon,Male,36–45,"PHP 100,001+",6,2,Combination,Brightens / evens skin tone,True,TV ad,True,Bought within past 3 months,False,,Liked price for perceived benefit|Liked the product texture or scent|Easy to find in store,,,,,,5,4,4,4,5,4,5,5,5,5,4,4,4,5,4,4,1,Same as BUMO,Definitely would buy again,Definitely would recommend,Keeps skin hydrated|Deep cleansing,Improve moisturising effect — skin feels dry after use|Add more active skin ingredients,Supermarket,100ml twin-pack,2 months ago,Less than 1 week
R1096,Brightening / Whitening,Visayas,Female,18–24,"PHP 25,001–40,000",4,2,Normal,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,Supermarket display,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Not sure,Probably would not,Fairly good value,A lot higher,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1097,Brightening / Whitening,Visayas,Female,36–45,"PHP 10,001–18,000",2,2,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Gentle / non-irritating,True,TV ad,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Not sure,Probably would not,Fairly good value,A little higher,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1098,Brightening / Whitening,Visayas,Male,18–24,"PHP 10,001–18,000",3,2,Combination,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,Beauty influencer,True,Bought within past 3 months,True,,Liked the product texture or scent|Product addresses my skin needs|Attractive packaging,,,,,,5,5,5,5,5,5,5,4,5,2,4,2,5,5,5,5,5,Better than BUMO,Definitely would buy again,Definitely would recommend,Brightens skin tone|Controls oil / prevents breakouts,Improve moisturising effect — skin feels dry after use,E-commerce,100ml,More than 3 months,Less than 1 week
R1099,Brightening / Whitening,Mindanao,Female,18–24,"PHP 60,001–100,000",5,2,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1100,Brightening / Whitening,Luzon,Male,36–45,"PHP 18,001–25,000",2,1,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,TV ad,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash|Not convinced the brightening claim is real,,Not sure,Probably would buy,Somewhat poor value,A lot lower,Brightens skin tone|Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1101,Brightening / Whitening,Mindanao,Male,18–24,"PHP 40,001–60,000",3,2,Sensitive,Brightens / evens skin tone|Keeps skin hydrated|Prevents breakouts,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1102,Brightening / Whitening,Luzon,Male,36–45,"PHP 25,001–40,000",2,2,Combination,Brightens / evens skin tone|Controls excess oil|Prevents breakouts,True,TikTok,True,Bought within past 3 months,False,,Liked the product texture or scent|Product addresses my skin needs|Attractive packaging,,,,,,5,5,5,5,5,5,4,5,4,5,3,1,4,5,5,5,4,Better than BUMO,Definitely would buy again,Definitely would recommend,Controls oil / prevents breakouts,Improve moisturising effect — skin feels dry after use,Beauty specialty store,100ml twin-pack,Less than 1 week,1 month ago
R1103,Brightening / Whitening,Visayas,Female,25–35,"PHP 10,001–18,000",3,1,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,TikTok,True,Regular buyer,False,,Liked the product texture or scent,,,,,,5,5,5,5,5,4,5,5,5,5,2,4,4,2,5,1,5,Better than BUMO,Might or might not,Definitely would recommend,Brightens skin tone|Controls oil / prevents breakouts,Improve moisturising effect — skin feels dry after use|Add more active skin ingredients,E-commerce,50ml travel,1 month ago,1 month ago
R1104,Brightening / Whitening,Luzon,Male,18–24,"PHP 100,001+",3,3,Oily,Reduces dark spots & hyperpigmentation|Keeps skin hydrated|Deep cleansing,True,Supermarket display,False,"Seen/heard, don't want to buy",False,Not convinced the brightening claim is real,,Somewhat irrelevant,Might or might not,Average value,A little lower,Gentle on skin,,,,,,,,,,,,,,,,,,,,,,,,,,
R1105,Brightening / Whitening,Mindanao,Female,36–45,"PHP 18,001–25,000",2,3,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,TV ad,True,Regular buyer,True,,Product addresses my skin needs|Recommended by friends / family|Recommended by beauty influencer,,,,,,5,5,5,5,5,5,5,5,5,5,5,1,1,5,3,5,4,Same as BUMO,Definitely would buy again,Definitely would recommend,Reduces dark spots,Improve moisturising effect — skin feels dry after use|Add more active skin ingredients,Drugstore,50ml travel,1–2 weeks ago,Less than 1 week
R1106,Brightening / Whitening,Visayas,Female,25–35,"PHP 40,001–60,000",3,2,Combination,Brightens / evens skin tone|Controls excess oil|Prevents breakouts,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1107,Brightening / Whitening,Luzon,Female,36–45,"PHP 60,001–100,000",4,3,Oily,Reduces dark spots & hyperpigmentation|Keeps skin hydrated|Gentle / non-irritating,True,Supermarket display,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Not sure,Probably would buy,Very poor value,About the same,Gentle on skin,,,,,,,,,,,,,,,,,,,,,,,,,,
R1108,Brightening / Whitening,Visayas,Female,18–24,"PHP 60,001–100,000",3,1,Dry,Reduces dark spots & hyperpigmentation|Controls excess oil|Gentle / non-irritating,True,TV ad,True,Bought within past 3 months,False,,Liked price for perceived benefit|Attractive packaging|Recommended by beauty influencer,,,,,,5,4,5,5,5,4,5,5,4,5,5,3,3,5,5,1,5,Better than BUMO,Definitely would buy again,Definitely would recommend,Keeps skin hydrated|Controls oil / prevents breakouts,Strengthen brightening result — visible change takes too long,Beauty specialty store,200ml,1–2 weeks ago,1 month ago
R1109,Brightening / Whitening,Luzon,Female,18–24,"PHP 18,001–25,000",2,2,Normal,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Anti-aging / firming,True,Beauty influencer,False,"Seen/heard, don't want to buy",False,Did not like / relate to TV ad,,Somewhat irrelevant,Probably would not,Fairly good value,A little higher,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1110,Brightening / Whitening,Luzon,Female,18–24,"PHP 25,001–40,000",6,1,Dry,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Prevents breakouts,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1111,Brightening / Whitening,Mindanao,Female,18–24,"PHP 18,001–25,000",4,1,Combination,Brightens / evens skin tone|Controls excess oil|Gentle / non-irritating,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1112,Brightening / Whitening,Luzon,Female,36–45,"PHP 10,001–18,000",4,2,Combination,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,TV ad,False,"Seen/heard, don't want to buy",False,Not recommended by friends / family,,Somewhat relevant,Probably would not,Very good value,A little higher,Keeps skin hydrated,,,,,,,,,,,,,,,,,,,,,,,,,,
R1113,Brightening / Whitening,Mindanao,Female,25–35,"PHP 10,001–18,000",4,2,Combination,Brightens / evens skin tone|Keeps skin hydrated|Deep cleansing,True,TV ad,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash|Not convinced the brightening claim is real,,Very relevant,Probably would not,Average value,A lot lower,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1114,Brightening / Whitening,Luzon,Female,46–59,"PHP 18,001–25,000",3,2,Dry,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Gentle / non-irritating,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1115,Brightening / Whitening,Mindanao,Female,25–35,"PHP 18,001–25,000",2,2,Combination,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1116,Brightening / Whitening,Luzon,Male,25–35,"PHP 10,001–18,000",3,1,Normal,Reduces dark spots & hyperpigmentation|Keeps skin hydrated|Controls excess oil,True,Facebook,False,"Seen/heard, don't want to buy",False,Difficult to find in store,,Not sure,Definitely would buy,Very good value,A little lower,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1117,Brightening / Whitening,Luzon,Male,25–35,"PHP 60,001–100,000",2,2,Oily,Reduces dark spots & hyperpigmentation|Gentle / non-irritating|Anti-aging / firming,True,Supermarket display,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Very irrelevant,Might or might not,Very poor value,A little higher,Brightens skin tone|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1118,Brightening / Whitening,Mindanao,Male,25–35,"PHP 60,001–100,000",2,2,Combination,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,TV ad,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Somewhat relevant,Definitely would buy,Average value,About the same,Controls oil / prevents breakouts|Gentle on skin,,,,,,,,,,,,,,,,,,,,,,,,,,
R1119,Brightening / Whitening,Visayas,Female,25–35,"PHP 25,001–40,000",5,2,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Anti-aging / firming,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1120,Brightening / Whitening,Visayas,Female,36–45,"PHP 40,001–60,000",5,2,Sensitive,Brightens / evens skin tone|Keeps skin hydrated|Prevents breakouts,True,TV ad,True,Bought within past 3 months,False,,Liked / related to TV ad|Liked price for perceived benefit|Recommended by friends / family,,,,,,5,5,5,5,5,5,5,5,5,5,4,4,3,3,5,5,5,Better than BUMO,Might or might not,Might or might not,Controls oil / prevents breakouts|Deep cleansing,Improve moisturising effect — skin feels dry after use,Supermarket,100ml,1 month ago,1 month ago
R1121,Brightening / Whitening,Mindanao,Male,46–59,"PHP 100,001+",6,1,Sensitive,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1122,Brightening / Whitening,Mindanao,Female,36–45,"PHP 18,001–25,000",4,2,Dry,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1123,Brightening / Whitening,Luzon,Female,36–45,"PHP 10,001–18,000",5,2,Sensitive,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation,True,Facebook,False,"Seen/heard, don't want to buy",False,Not convinced the brightening claim is real,,Very relevant,Definitely would buy,Fairly good value,About the same,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1124,Brightening / Whitening,Mindanao,Female,25–35,"PHP 25,001–40,000",6,1,Dry,Brightens / evens skin tone|Keeps skin hydrated|Gentle / non-irritating,True,Supermarket display,False,"Seen/heard, considering but haven't bought",False,Difficult to find in store,,Somewhat relevant,Definitely would buy,Fairly good value,A little higher,Brightens skin tone|Gentle on skin,,,,,,,,,,,,,,,,,,,,,,,,,,
R1125,Brightening / Whitening,Visayas,Male,25–35,"PHP 10,001–18,000",4,2,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Gentle / non-irritating,True,Supermarket display,True,Regular buyer,False,,Liked the product texture or scent,,,,,,5,5,5,4,5,5,5,4,5,3,4,1,3,5,5,4,4,Better than BUMO,Probably would buy again,Might or might not,Brightens skin tone|Deep cleansing,Improve moisturising effect — skin feels dry after use,Supermarket,100ml twin-pack,2 months ago,Less than 1 week
R1126,Brightening / Whitening,Luzon,Female,25–35,"PHP 10,001–18,000",6,2,Normal,Reduces dark spots & hyperpigmentation|Controls excess oil|Gentle / non-irritating,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1127,Brightening / Whitening,Mindanao,Female,25–35,"PHP 25,001–40,000",2,2,Sensitive,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Gentle / non-irritating,True,TV ad,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Very relevant,Might or might not,Somewhat poor value,About the same,Keeps skin hydrated|Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1128,Brightening / Whitening,Luzon,Female,46–59,"PHP 25,001–40,000",4,1,Dry,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Gentle / non-irritating,True,Supermarket display,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash|Price too high for perceived benefit,,Somewhat relevant,Probably would not,Fairly good value,A little lower,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1129,Brightening / Whitening,Luzon,Female,18–24,"PHP 40,001–60,000",5,1,Combination,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,Facebook,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash|Not convinced the brightening claim is real|Not recommended by friends / family,,Not sure,Probably would not,Very good value,About the same,Keeps skin hydrated|Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1130,Brightening / Whitening,Luzon,Male,18–24,"PHP 10,001–18,000",2,3,Normal,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Controls excess oil,True,TV ad,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash|Not convinced the brightening claim is real|Packaging not appealing,,Very relevant,Definitely would buy,Fairly good value,A little lower,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1131,Brightening / Whitening,Mindanao,Female,25–35,"PHP 10,001–18,000",5,1,Oily,Reduces dark spots & hyperpigmentation|Controls excess oil|Anti-aging / firming,True,Supermarket display,False,"Seen/heard, don't want to buy",False,Difficult to find in store,,Somewhat relevant,Probably would buy,Very poor value,A lot lower,Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1132,Brightening / Whitening,Luzon,Female,18–24,"PHP 10,001–18,000",5,2,Oily,Reduces dark spots & hyperpigmentation|Keeps skin hydrated|Controls excess oil,True,Supermarket display,True,Bought within past 3 months,False,,Liked / related to TV ad|Liked price for perceived benefit|Liked the product texture or scent,,,,,,4,5,5,5,5,5,5,5,5,5,2,5,2,3,5,4,5,Same as BUMO,Definitely would buy again,Probably would recommend,Brightens skin tone|Keeps skin hydrated,Improve moisturising effect — skin feels dry after use,Supermarket,100ml,Less than 1 week,1 month ago
R1133,Brightening / Whitening,Luzon,Male,36–45,"PHP 25,001–40,000",5,2,Dry,Brightens / evens skin tone|Keeps skin hydrated|Controls excess oil,True,Drugstore display,True,Bought within past 3 months,True,,Product addresses my skin needs,,,,,,5,5,5,3,5,5,5,3,4,5,5,3,2,1,5,1,4,Same as BUMO,Definitely would buy again,Probably would recommend,Brightens skin tone|Keeps skin hydrated,Improve moisturising effect — skin feels dry after use|Offer more promotions / discounts,E-commerce,100ml,1 month ago,1 month ago
R1134,Brightening / Whitening,Visayas,Female,25–35,"PHP 40,001–60,000",2,1,Normal,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,Family / Friends,True,Bought within past 3 months,False,,Liked the product texture or scent|Attractive packaging|Easy to find in store,,,,,,5,5,5,5,5,5,5,5,3,5,5,2,2,5,5,5,5,Better than BUMO,Probably would buy again,Definitely would not,Brightens skin tone|Reduces dark spots,Improve moisturising effect — skin feels dry after use,E-commerce,100ml,1–2 weeks ago,1 month ago
R1135,Brightening / Whitening,Visayas,Female,36–45,"PHP 18,001–25,000",4,3,Combination,Reduces dark spots & hyperpigmentation|Gentle / non-irritating|Deep cleansing,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
